Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q2,San Diego,Ruthenium-106,-0.000306,0.000366,0.000982,0,20
2012Q2,San Diego,Cesium-137,-0.0000438,0.0000392,0.000104,0,200
2012Q2,San Diego,Cerium-141,0.000313,0.000151,0.000476,0,800
2012Q2,San Diego,Cerium-144,0.000297,0.000198,0.000619,0,20
2012Q3,Eureka,Beryllium-7,0.0424,0.00127,0.00196,7.07E-05,30000
2012Q3,Eureka,Potassium-40,0.000972,0.000483,0.00222,0,600
2012Q3,Eureka,Niobium-95,-0.000031,0.0001,0.0003,0,2000
2012Q3,Eureka,Zirconium-95,0.000217,0.000137,0.00029,0,400
2012Q3,Eureka,Ruthenium-103,-0.0000364,0.0000842,0.00022,0,900
2012Q3,Eureka,Ruthenium-106,-0.000823,0.000358,0.000818,0,20
2012Q3,Eureka,Cesium-137,0.0000977,0.0000316,0.0000932,0.000024425,200
2012Q3,Eureka,Cerium-141,0.000089,0.000137,0.000383,0,800
2012Q3,Eureka,Cerium-144,-0.000239,0.000159,0.000443,0,20
2012Q3,Humboldt Bay,Beryllium-7,0.0469,0.00156,0.00359,7.82E-05,30000
2012Q3,Humboldt Bay,Potassium-40,0.000912,0.000638,0.00296,0,600
2012Q3,Humboldt Bay,Niobium-95,0.0000302,0.000127,0.00039,0,2000
2012Q3,Humboldt Bay,Zirconium-95,0.000148,0.000188,0.000383,0,400
2012Q3,Humboldt Bay,Ruthenium-103,-0.000157,0.00012,0.000303,0,900
2012Q3,Humboldt Bay,Ruthenium-106,-0.000084,0.000471,0.0012,0,20
2012Q3,Humboldt Bay,Cesium-137,0.0000765,0.0000445,0.000124,0,200
2012Q3,Humboldt Bay,Cerium-141,0.000125,0.000179,0.000502,0,800
2012Q3,Humboldt Bay,Cerium-144,-0.000205,0.000213,0.000603,0,20
2012Q3,"Richmond, CA",Beryllium-7,0.0553,0.00172,0.00307,9.22E-05,30000
2012Q3,"Richmond, CA",Potassium-40,0.000868,0.000749,0.00348,0,600
2012Q3,"Richmond, CA",Niobium-95,-0.0000668,0.000167,0.000434,0,2000
2012Q3,"Richmond, CA",Zirconium-95,0.000295,0.000192,0.000422,0,400
2012Q3,"Richmond, CA",Ruthenium-103,-0.000238,0.000123,0.000316,0,900
2012Q3,"Richmond, CA",Ruthenium-106,0.000304,0.000434,0.00124,0,20
2012Q3,"Richmond, CA",Cesium-137,0.000036,0.0000435,0.000126,0,200
2012Q3,"Richmond, CA",Cerium-141,0.0000957,0.000183,0.000562,0,800
2012Q3,"Richmond, CA",Cerium-144,-0.0000199,0.000243,0.000739,0,20
